t,cond,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z,rot.w
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
12.214,0,6.511,-1.054,-1.795,0.0000,-0.7148,0.0000,0.6993
